term,count
shoulder,176
elbow,128
knee,86
femur,77
tibia,69
hip,65
humerus,47
ankle,43
acetabulum,33
spine,28
patella,26
glenoid,25
radial head,25
femoral head,24
fibula,22
clavicle,22
acl,22
femoral neck,21
scaphoid,20
pelvis,19
radius,18
supracondylar,17
meniscus,16
proximal humerus,15
calcaneus,15
foot,14
ulnar nerve,14
labrum,13
talus,13
wrist,11
radial nerve,11
femoral shaft,11
gastrocnemius,11
lunate,10
thumb,10
thoracic spine,10
peroneus brevis,10
5th metatarsal,10
humeral head,9
scapula,9
distal humerus,9
forearm,9
hallux,9
pelvic ring,8
ulna,8
rotator cuff,8
lcl,8
pcl,8
lumbar spine,8
distal phalanx,8
tibial tubercle,8
popliteal artery,8
achilles tendon,8
distal radius,7
hand,7
tendon,7
olecranon,7
mcl,7
coronoid,7
carpal tunnel,7
lesser trochanter,7
spinal cord,7
metacarpal,7
tibial plateau,7
patellar tendon,7
dipj,7
deltoid ligament,7
subtalar joint,7
metatarsal,6
vertebral body,6
bone,6
axillary nerve,6
infraspinatus,6
supraspinatus,6
suprascapular nerve,6
biceps tendon,6
epl,6
volar plate,6
sartorius,6
gluteus medius,6
cervical spine,6
metaphysis,6
physis,6
medial epicondyle,6
epiphysis,6
anterior tibial artery,6
collateral ligaments,6
transverse carpal ligament,6
phalanges,6
proximal phalanx,6
pipj,6
glenohumeral joint,5
capitellum,5
trochlea,5
teres minor,5
capsule,5
musculocutaneous nerve,5
biceps,5
lateral epicondyle,5
lucl,5
pin,5
median nerve,5
radial styloid,5
iliopsoas,5
rectus femoris,5
l5,5
vertebrae,5
tibialis anterior,5
peroneus longus,5
superficial peroneal nerve,5
posterior tibial artery,5
medial cuneiform,5
capitate,4
obturator foramen,4
ilium,4
cuboid,4
medial compartment,4
lateral compartment,4
subscapularis,4
coracohumeral ligament,4
pectoralis major,4
conoid ligament,4
acromion,4
greater tuberosity,4
humeral shaft,4
posterior interosseous nerve,4
annular ligament,4
ecrb,4
fds,4
interosseous membrane,4
radioulnar ligaments,4
extensor compartment,4
fpl,4
medial femoral circumflex artery,4
greater trochanter,4
asis,4
tensor fascia latae,4
proximal femur,4
iliac crest,4
sacrum,4
distal femur,4
hamstring,4
finger,4
semimembranosus,4
lateral meniscus,4
gracilis,4
semitendinosus,4
common peroneal nerve,4
second metatarsal,4
soleus,4
posterior malleolus,4
trapezium,4
middle phalanx,4
fdp,4
pisiform,4
sural nerve,4
posterior tibialis tendon,4
fhl,4
posterior facet,4
great toe,4
lisfranc ligament,4
posterior tibial tendon,4
hamate,3
triquetrum,3
pubic ramus,3
s1,3
hemipelvis,3
posterior wall,3
flexor tendon,3
digit,3
anterior compartment,3
nerve,3
subtrochanteric region,3
latissimus dorsi,3
short head of the biceps,3
trapezoid ligament,3
bicep tendon,3
transepicondylar axis,3
lateral antebrachial cutaneous nerve,3
mucl,3
radial tuberosity,3
ligaments,3
apl,3
epb,3
eip,3
sciatic nerve,3
piriformis,3
lateral femoral cutaneous nerve,3
it band,3
femoral component,3
pedicles,3
nerve root,3
pedicle,3
phalanx,3
pubic symphysis,3
proximal tibia,3
femoral nerve,3
anterior inferior tibiofibular ligament,3
medial meniscus,3
lateral tibial plateau,3
biceps femoris,3
popliteofibular ligament,3
popliteus tendon,3
medial patellofemoral ligament,3
superficial mcl,3
vastus intermedius,3
trochlear groove,3
ankle joint,3
medial malleolus,3
peroneal artery,3
scapholunate ligament,3
adductor pollicis,3
first metacarpal,3
ulnar collateral ligament,3
central slip,3
fdp tendon,3
fds tendons,3
digital arteries,3
1st metatarsal,3
talonavicular joint,3
2nd metatarsal,3
tibial (medial),3
distal_tibia,3
syndesmosis,3
hindfoot,3
lisfranc joint,3
scapular body,2
acromioclavicular joint,2
posterior fat pad,2
ilioischial line,2
coccyx,2
spinous processes,2
s2,2
si joint,2
sacral ala,2
anterior wall,2
anterior column,2
small finger,2
fingers,2
dorsal interosseous,2
hypothenar,2
thenar,2
volar interosseous,2
deep posterior compartment,2
central compartment,2
interosseous compartment,2
lower leg,2
cartilage,2
coracoid,2
long head of biceps tendon,2
superior glenohumeral joint,2
posterior humeral circumflex artery,2
bicipital groove,2
teres major,2
coracobrachialis,2
coracoacromial ligament,2
long head of the triceps,2
suprascapular artery,2
ac joint,2
head,2
lesser tuberosity,2
shoulder joint,2
hill sachs lesion,2
rotator interval,2
subscapularis tendon,2
joint,2
biceps anchor,2
posterior capsule,2
joint capsule,2
brachioradialis,2
superficial radial nerve,2
extensor indicis proprius,2
long head,2
flexor carpi radialis,2
flexor carpi ulnaris,2
palmaris longus,2
pronator teres,2
anconeus,2
ed,2
ecu,2
two heads of the pronator teres,2
medial antebrachial cutaneous nerve,2
supinator muscle,2
central band,2
druj,2
transverse acetabular ligament,2
ischial tuberosity,2
short external rotators,2
superior gluteal nerve,2
calcar,2
intertrochanteric,2
piriformis fossa,2
pudendal nerve,2
hip joint,2
acetabular cup,2
femoral stem,2
trochanter,2
stem,2
cortical bone,2
nucleus pulposus,2
anterior longitudinal ligament,2
lamina,2
spinous process,2
c1,2
c2,2
posterior transverse ligament,2
c5,2
c6,2
l4,2
t4,2
ip joint,2
superior gluteal artery,2
external iliac vessels,2
iliac wing,2
proximal tibial physis,2
physeal,2
metatarsus,2
lateral condyle,2
nail plate,2
digits,2
flexor pollicis longus,2
vertebral segment,2
thigh,2
tibial shaft,2
coronary ligaments,2
meniscofemoral ligaments,2
ligament of humphrey,2
ligament of wrisberg,2
anteromedial bundle,2
medial tibial plateau,2
patella retinaculum,2
lateral geniculate artery,2
popliteus,2
patellar retinaculum,2
posterior oblique ligament,2
saphenous nerve,2
vastus lateralis,2
vastus medialis,2
extensor mechanism,2
femoral tunnel,2
posterolateral corner,2
blumensaat's line,2
tibial tuberosity,2
mechanical axis,2
intercondylar notch,2
whiteside's line,2
deep peroneal nerve,2
extensor hallicus longus,2
plantaris tendon,2
tibial nerve,2
adductor magnus,2
femoral artery,2
lunotriquetral ligament,2
mcp joint,2
metacarpals,2
fifth metacarpal,2
abductor pollicis longus,2
cmc joint,2
interossei,2
mcpj,2
hook of hamate,2
fdp tendons,2
recurrent motor branch of the median nerve,2
lumbrical muscles,2
ulnar artery,2
palmar arches,2
nerves,2
grayson's ligament,2
posterior inferior tibiofibular ligament,2
atfl,2
navicular,2
tibialis anterior tendon,2
plantar fascia,2
middle cuneiform,2
lateral column,2
flexor hallucis brevis,2
sesamoids,2
sesamoid,2
peroneal tendon,2
subtalar,2
talar,2
fdl,2
sustentaculum tali,2
toes,2
forefoot,2
sesamoid complex,2
first metatarsal,2
talocalcaneal angle,2
mtpj,2
glenoid fossa,1
svc,1
sternoclavicular joint,1
subclavian artery,1
acetabular roof,1
anterior border,1
iliopubic line,1
medial acetabular wall,1
posterior border,1
tear drop,1
sacral foramina,1
posterior column,1
medial femoral neck,1
superomedial dome,1
penis,1
femoral condyles,1
talar domes,1
cuneiform,1
talar neck,1
synovial sheath,1
tendon sheath,1
parona's space,1
fingertip pulp,1
s. aureus,1
dorsal metacarpophalangeal joint,1
arm,1
adductor,1
posterior compartment,1
superficial posterior compartment,1
dorsal compartment,1
muscle,1
vessel,1
jaw,1
acromial process,1
coraclavicular ligaments,1
coracoid process,1
distal clavicle,1
lower subscapular nerve,1
upper subscapular nerve,1
transverse humeral ligament,1
glenoid tubercle,1
cephalic vein,1
anterior humeral circumflex artery,1
venous communicantes,1
pectoralis minor,1
acromioclavicular ligament,1
conjoined tendon,1
arcuate artery,1
scapulothoracic articulation,1
serratus anterior,1
long thoracic nerve,1
trapezius,1
cn xi,1
clavicular head,1
sternocostal head,1
suprascapular notch,1
transverse scapular ligament,1
inferior glenohumeral ligament,1
middle glenohumeral ligament,1
superior glenohumeral ligament,1
acromial branch of the thoracoacromial artery,1
